amount produced/need, avg price, sd, char
amount produced/need, avg price, sd, char
 year: 43, pop: 181
0.867063, 3.100919, 6.702619, A
0.652399, 0.501573, 0.850086, B
0.514095, 1.478886, 2.177269, C
1.013366, 0.267969, 0.519480, D
1.200189, 0.337735, 0.729555, E
0.942157, 1.004565, 1.385811, F
0.958084, 0.934553, 0.935035, G
0.734646, 0.556966, 0.831117, H
1.119923, 0.406931, 0.720103, I
0.745661, 0.425453, 0.917882, J
amount produced/need, avg price, sd, char
 year: 44, pop: 187
1.009175, 2.848369, 5.709455, A
0.635947, 0.590607, 0.935972, B
0.499322, 1.771277, 2.775554, C
0.993631, 0.301923, 0.646637, D
1.168357, 0.361422, 0.805282, E
0.944766, 0.975204, 1.525573, F
0.933685, 0.863077, 0.969745, G
0.718567, 0.658382, 0.865943, H
1.092503, 0.415668, 0.824896, I
0.728764, 0.449025, 0.975729, J
amount produced/need, avg price, sd, char
 year: 45, pop: 185
1.037615, 2.203350, 2.557993, A
0.630444, 0.754952, 1.197951, B
0.494585, 2.332871, 3.701675, C
0.979328, 0.267529, 0.554211, D
1.158119, 0.318598, 0.683483, E
0.935159, 0.967352, 1.701324, F
0.922719, 0.792427, 0.950580, G
0.712118, 0.846693, 1.088466, H
1.081743, 0.354355, 0.684393, I
0.721654, 0.440648, 0.969893, J
amount produced/need, avg price, sd, char
 year: 46, pop: 183
1.167498, 1.665718, 1.935031, A
0.619718, 1.000526, 1.635255, B
0.528342, 2.739947, 4.571667, C
0.963607, 0.276897, 0.571930, D
1.135996, 0.332923, 0.733116, E
0.916518, 1.026752, 2.037771, F
0.903764, 0.757526, 0.977763, G
0.699047, 1.136479, 1.490507, H
1.060848, 0.359870, 0.745535, I
0.708521, 0.459159, 0.984823, J
amount produced/need, avg price, sd, char
 year: 47, pop: 187
1.150468, 1.255266, 1.506496, A
0.612768, 1.027179, 1.518882, B
0.634817, 2.845970, 3.216771, C
0.950148, 0.250118, 0.484760, D
1.118897, 0.372644, 0.787787, E
0.904498, 1.036288, 2.370859, F
0.893486, 0.720043, 0.996810, G
0.690429, 1.534894, 2.156884, H
1.046848, 0.324406, 0.658798, I
0.699145, 0.450589, 0.960945, J
amount produced/need, avg price, sd, char
 year: 48, pop: 190
1.133023, 1.012051, 1.274851, A
0.604854, 1.197169, 1.688310, B
0.738837, 2.622330, 2.584564, C
0.933632, 0.242644, 0.512436, D
1.104353, 0.411887, 0.857461, E
0.892789, 1.081570, 2.969648, F
0.880609, 0.682794, 0.973641, G
0.681046, 2.102663, 3.180807, H
1.033214, 0.314594, 0.685205, I
0.690659, 0.469070, 0.943178, J
amount produced/need, avg price, sd, char
 year: 49, pop: 194
1.109123, 0.865966, 1.103150, A
0.590154, 1.397943, 1.968724, B
0.939382, 2.185647, 1.913829, C
0.912754, 0.261363, 0.552732, D
1.085208, 0.538384, 1.126377, E
0.873012, 1.184553, 3.703985, F
0.860627, 0.677839, 1.002043, G
0.665805, 2.940288, 4.785853, H
1.010546, 0.311843, 0.655724, I
0.677998, 0.555835, 1.073808, J
amount produced/need, avg price, sd, char
 year: 50, pop: 195
1.122981, 0.749210, 0.991384, A
0.581260, 1.560796, 1.748283, B
1.032035, 1.666778, 1.664076, C
0.895926, 0.255416, 0.549169, D
1.070556, 0.534451, 0.950322, E
0.859414, 1.269220, 4.975111, F
0.846062, 0.637621, 0.950909, G
0.663398, 2.396157, 2.579559, H
0.995053, 0.299109, 0.650999, I
0.668199, 0.662801, 1.162649, J
amount produced/need, avg price, sd, char
 year: 51, pop: 195
1.115272, 0.643824, 0.913852, A
0.578695, 1.786312, 2.008188, B
1.024875, 1.313326, 1.517321, C
0.889677, 0.235029, 0.498112, D
1.065760, 0.680931, 1.289398, E
0.854092, 1.390548, 6.411097, F
0.840245, 0.611201, 0.970113, G
0.721343, 3.108300, 3.244451, H
0.989537, 0.278936, 0.628224, I
0.664000, 0.802603, 1.413314, J
amount produced/need, avg price, sd, char
 year: 52, pop: 199
1.083855, 0.620588, 0.927802, A
0.562800, 2.406932, 2.982427, B
1.000576, 1.120197, 1.411844, C
0.865530, 0.298896, 0.712584, D
1.032455, 0.852539, 1.389768, E
0.830939, 1.537766, 8.120225, F
0.816541, 0.649995, 1.034755, G
0.874881, 3.843109, 4.068010, H
0.962198, 0.338733, 0.804248, I
0.644334, 1.076908, 1.947095, J
amount produced/need, avg price, sd, char
 year: 53, pop: 202
1.064135, 0.566841, 0.869571, A
0.553768, 3.237993, 4.402451, B
1.019693, 0.963091, 1.322503, C
0.849675, 0.377028, 0.945182, D
1.012245, 0.923120, 1.269468, E
0.816189, 1.782152, 11.322632, F
0.801663, 0.649256, 1.024047, G
1.009573, 3.761825, 3.839546, H
0.944379, 0.327380, 0.710256, I
0.629528, 1.406195, 2.690508, J
amount produced/need, avg price, sd, char
 year: 54, pop: 201
1.050374, 0.541283, 0.887042, A
0.588511, 3.679163, 3.945837, B
1.003799, 0.851044, 1.257989, C
0.837128, 0.450047, 1.048013, D
1.002856, 0.867693, 0.995203, E
0.804291, 2.092884, 15.609714, F
0.790712, 0.650991, 1.041481, G
1.070180, 2.991584, 2.827118, H
0.931442, 0.317324, 0.683818, I
0.621071, 1.918096, 4.046480, J
amount produced/need, avg price, sd, char
 year: 55, pop: 202
1.036965, 0.506238, 0.852092, A
0.580264, 4.693389, 5.433087, B
0.988394, 0.778576, 1.240029, C
0.826283, 0.559098, 1.348912, D
0.987864, 0.856283, 0.927649, E
0.792735, 2.340166, 20.334425, F
0.778953, 0.641468, 1.013182, G
1.143793, 2.405212, 2.607482, H
0.917085, 0.304663, 0.645980, I
0.612331, 2.678814, 6.162105, J
amount produced/need, avg price, sd, char
 year: 56, pop: 206
1.015362, 0.503144, 0.881954, A
0.633143, 5.365632, 6.457803, B
0.966533, 0.736127, 1.228940, C
0.807326, 0.704811, 1.459108, D
0.970929, 0.799268, 0.909857, E
0.808638, 2.590269, 17.111698, F
0.764337, 0.667261, 1.065678, G
1.186544, 1.892202, 2.270422, H
0.899749, 0.331326, 0.699246, I
0.601379, 3.838336, 9.575699, J
amount produced/need, avg price, sd, char
 year: 57, pop: 205
1.002826, 0.483932, 0.856404, A
0.703128, 5.473962, 6.948688, B
0.952984, 0.691049, 1.191637, C
0.795990, 0.808230, 1.365580, D
0.956869, 0.763835, 0.826648, E
0.797407, 2.766941, 14.356263, F
0.753343, 0.695725, 1.119480, G
1.169105, 1.556685, 1.973484, H
0.886895, 0.396315, 0.854936, I
0.593656, 5.538839, 14.660306, J
amount produced/need, avg price, sd, char
 year: 58, pop: 203
0.993289, 0.456302, 0.805759, A
0.808834, 4.273868, 5.334421, B
0.943432, 0.653922, 1.179708, C
0.787392, 0.875842, 1.124043, D
0.941716, 0.761723, 0.824037, E
0.788644, 3.027906, 16.760615, F
0.745682, 0.717619, 1.193210, G
1.156359, 1.289953, 1.765797, H
0.876551, 0.429688, 0.836880, I
0.587993, 7.923115, 22.222693, J
amount produced/need, avg price, sd, char
 year: 59, pop: 209
0.972155, 0.474681, 0.843417, A
1.011831, 3.268011, 4.194654, B
0.922104, 0.660805, 1.204211, C
0.768997, 1.148401, 1.558406, D
0.921292, 0.755476, 0.842799, E
0.771684, 3.221673, 18.643150, F
0.729364, 0.815998, 1.441120, G
1.133026, 1.144441, 1.631414, H
0.856569, 0.534534, 1.081766, I
0.605471, 10.471550, 32.459736, J
amount produced/need, avg price, sd, char
 year: 60, pop: 210
0.947583, 0.473502, 0.825813, A
1.057144, 2.467933, 2.845403, B
0.899068, 0.648893, 1.175836, C
0.750890, 1.496772, 2.017850, D
0.896974, 0.717750, 0.801982, E
0.751483, 3.539864, 22.868604, F
0.712820, 0.970165, 1.820729, G
1.102917, 1.037372, 1.512786, H
0.834542, 0.749742, 1.593942, I
0.818296, 14.105959, 47.861880, J
amount produced/need, avg price, sd, char
 year: 61, pop: 207
0.936657, 0.442494, 0.767708, A
1.045363, 1.965031, 2.392297, B
0.891210, 0.603298, 1.130160, C
0.744861, 1.731749, 2.056207, D
0.886280, 0.678944, 0.796327, E
0.743695, 3.995832, 29.425788, F
0.704600, 1.206600, 2.607773, G
1.092816, 0.930832, 1.447862, H
0.826810, 1.029978, 2.401433, I
0.909165, 13.433689, 46.440899, J
amount produced/need, avg price, sd, char
 year: 62, pop: 210
0.917265, 0.464274, 0.830007, A
1.024060, 1.685722, 2.159825, B
0.869674, 0.587454, 1.121935, C
0.726823, 2.176016, 2.712081, D
0.868166, 0.642424, 0.727837, E
0.726750, 4.745050, 39.896873, F
0.688717, 1.581424, 3.757569, G
1.066564, 0.888014, 1.430433, H
0.807636, 1.418037, 3.505296, I
1.091924, 9.325142, 20.764563, J
amount produced/need, avg price, sd, char
 year: 63, pop: 214
0.899213, 0.483199, 0.810374, A
1.002893, 1.456031, 1.990603, B
0.855088, 0.582238, 1.130248, C
0.778542, 2.700219, 3.557051, D
0.852608, 0.602097, 0.688609, E
0.712323, 6.074882, 60.266031, F
0.676018, 2.143538, 5.812879, G
1.045536, 0.856192, 1.410730, H
0.790643, 1.945659, 5.182788, I
1.196595, 6.769356, 14.118174, J
amount produced/need, avg price, sd, char
 year: 64, pop: 220
0.886134, 0.500810, 0.775499, A
0.990189, 1.290856, 1.888453, B
0.842721, 0.552007, 1.097812, C
0.800540, 2.768558, 3.412518, D
0.839370, 0.571046, 0.644557, E
0.701874, 7.684764, 87.012769, F
0.665385, 2.995246, 9.059729, G
1.030302, 0.804630, 1.382223, H
0.778997, 2.855200, 8.152752, I
