amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
0.516535, 2.232726, 0.178415, 4.087576, 7.150000, H
0.637623, 2.216516, 0.195245, 4.042147, 7.150000, I
2.501958, 2.092175, 0.209551, 2.240037, 7.150000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 27
0.387918, 2.071374, 0.197319, 2.978407, 7.150000, A
1.044679, 2.052091, 0.214044, 1.912332, 7.150000, B
1.464701, 2.074096, 0.218399, 2.021896, 7.150000, C
1.168551, 2.105262, 0.210832, 2.585320, 7.150000, D
1.127113, 2.133343, 0.203798, 2.509260, 7.150000, E
0.671035, 2.182573, 0.187244, 4.986297, 7.150000, F
0.772478, 2.155276, 0.186735, 2.632789, 7.150000, G
0.516535, 2.133352, 0.179623, 4.087576, 7.150000, H
0.637623, 2.141548, 0.182577, 4.042147, 7.150000, I
2.501958, 2.035726, 0.205699, 2.240037, 7.150000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 28
0.387918, 2.038401, 0.201675, 2.978407, 7.210000, A
1.044679, 1.994887, 0.213219, 1.912332, 7.210000, B
1.464701, 2.028768, 0.212427, 2.021896, 7.210000, C
1.168551, 2.047180, 0.206459, 2.585320, 7.210000, D
1.127113, 2.089874, 0.188501, 2.509260, 7.210000, E
0.671035, 2.123720, 0.197576, 4.986297, 7.210000, F
0.772478, 2.084442, 0.175832, 2.632789, 7.210000, G
0.516535, 2.074412, 0.177314, 4.087576, 7.210000, H
0.637623, 2.100180, 0.200583, 4.042147, 7.210000, I
2.501958, 2.011255, 0.215664, 2.240037, 7.210000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 29
0.387918, 2.021523, 0.198788, 2.978407, 7.040000, A
1.044679, 1.922557, 0.211472, 1.912332, 7.040000, B
1.464701, 1.980674, 0.192791, 2.021896, 7.040000, C
1.168551, 1.978679, 0.198630, 2.585320, 7.040000, D
1.127113, 2.013883, 0.164330, 2.509260, 7.040000, E
0.671035, 2.061551, 0.189493, 4.986297, 7.040000, F
0.772478, 1.982640, 0.164158, 2.632789, 7.040000, G
0.516535, 2.044384, 0.180261, 4.087576, 7.040000, H
0.637623, 2.049314, 0.197747, 4.042147, 7.040000, I
2.501958, 1.980644, 0.206955, 2.240037, 7.040000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 30
0.387918, 1.975318, 0.189289, 2.978407, 7.020000, A
1.044679, 1.852621, 0.210848, 1.912332, 7.020000, B
1.464701, 1.919542, 0.191637, 2.021896, 7.020000, C
1.168551, 1.946305, 0.192946, 2.585320, 7.020000, D
1.127113, 1.940079, 0.167260, 2.509260, 7.020000, E
0.671035, 1.993335, 0.191489, 4.986297, 7.020000, F
0.772478, 1.905905, 0.166869, 2.632789, 7.020000, G
0.516535, 1.994722, 0.184378, 4.087576, 7.020000, H
0.637623, 1.972861, 0.195695, 4.042147, 7.020000, I
2.501958, 1.940961, 0.205708, 2.240037, 7.020000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 31
0.387918, 1.908364, 0.169771, 2.978407, 7.090000, A
1.044679, 1.810281, 0.213396, 1.912332, 7.090000, B
1.464701, 1.860457, 0.189270, 2.021896, 7.090000, C
1.168551, 1.862377, 0.182221, 2.585320, 7.090000, D
1.127113, 1.894468, 0.181793, 2.509260, 7.090000, E
0.671035, 1.972141, 0.194893, 4.986297, 7.090000, F
0.772478, 1.895758, 0.168103, 2.632789, 7.090000, G
0.516535, 1.929204, 0.166427, 4.087576, 7.090000, H
0.637623, 1.928617, 0.183667, 4.042147, 7.090000, I
2.501958, 1.891186, 0.192793, 2.240037, 7.090000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 32
0.387918, 1.867717, 0.166999, 2.978407, 7.140000, A
1.044679, 1.767565, 0.217472, 1.912332, 7.140000, B
1.464701, 1.793196, 0.195921, 2.021896, 7.140000, C
1.168551, 1.795112, 0.178121, 2.585320, 7.140000, D
1.127113, 1.849849, 0.193812, 2.509260, 7.140000, E
0.671035, 1.910862, 0.188832, 4.986297, 7.140000, F
0.772478, 1.858112, 0.180210, 2.632789, 7.140000, G
0.516535, 1.856739, 0.159782, 4.087576, 7.140000, H
0.637623, 1.894444, 0.180881, 4.042147, 7.140000, I
2.501958, 1.833468, 0.183992, 2.240037, 7.140000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 33
0.387918, 1.811805, 0.165331, 2.978407, 7.130000, A
1.044679, 1.736528, 0.215833, 1.912332, 7.130000, B
1.464701, 1.730155, 0.197140, 2.021896, 7.130000, C
1.168551, 1.732166, 0.185190, 2.585320, 7.130000, D
1.127113, 1.780249, 0.195071, 2.509260, 7.130000, E
0.671035, 1.863970, 0.188111, 4.986297, 7.130000, F
0.772478, 1.809290, 0.184968, 2.632789, 7.130000, G
0.516535, 1.808023, 0.169582, 4.087576, 7.130000, H
0.637623, 1.827184, 0.165832, 4.042147, 7.130000, I
2.501958, 1.778391, 0.165934, 2.240037, 7.130000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 34
0.387918, 1.729076, 0.157342, 2.978407, 7.010000, A
1.044679, 1.715039, 0.208748, 1.912332, 7.010000, B
1.464701, 1.686293, 0.199721, 2.021896, 7.010000, C
1.168551, 1.706887, 0.180655, 2.585320, 7.010000, D
1.127113, 1.726606, 0.190151, 2.509260, 7.010000, E
0.671035, 1.771551, 0.167044, 4.986297, 7.010000, F
0.772478, 1.771599, 0.178746, 2.632789, 7.010000, G
0.516535, 1.769302, 0.169733, 4.087576, 7.010000, H
0.637623, 1.777363, 0.152859, 4.042147, 7.010000, I
2.501958, 1.708804, 0.148025, 2.240037, 7.010000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 35
0.387918, 1.668780, 0.158624, 2.978407, 6.980000, A
1.044679, 1.666897, 0.195242, 1.912332, 6.980000, B
1.464701, 1.629737, 0.191749, 2.021896, 6.980000, C
1.168551, 1.657586, 0.174878, 2.585320, 6.980000, D
1.127113, 1.660277, 0.193686, 2.509260, 6.980000, E
0.671035, 1.717941, 0.165067, 4.986297, 6.980000, F
0.772478, 1.717775, 0.171346, 2.632789, 6.980000, G
0.516535, 1.728446, 0.168913, 4.087576, 6.980000, H
0.637623, 1.738958, 0.150493, 4.042147, 6.980000, I
2.501958, 1.660890, 0.144976, 2.240037, 6.980000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 36
0.387918, 1.606273, 0.155125, 2.978407, 6.920000, A
1.044679, 1.612480, 0.176298, 1.912332, 6.920000, B
1.464701, 1.582802, 0.176194, 2.021896, 6.920000, C
1.168551, 1.615924, 0.167833, 2.585320, 6.920000, D
1.127113, 1.589270, 0.175524, 2.509260, 6.920000, E
0.671035, 1.664675, 0.160346, 4.986297, 6.920000, F
0.772478, 1.632539, 0.158927, 2.632789, 6.920000, G
0.516535, 1.664916, 0.160652, 4.087576, 6.920000, H
0.637623, 1.674827, 0.148515, 4.042147, 6.920000, I
2.501958, 1.616153, 0.138998, 2.240037, 6.920000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 37
0.387918, 1.556961, 0.158662, 2.978407, 7.070000, A
1.044679, 1.566593, 0.162519, 1.912332, 7.070000, B
1.464701, 1.545090, 0.175972, 2.021896, 7.070000, C
1.168551, 1.585303, 0.171567, 2.585320, 7.070000, D
1.127113, 1.534635, 0.166012, 2.509260, 7.070000, E
0.671035, 1.632523, 0.154901, 4.986297, 7.070000, F
0.772478, 1.562295, 0.149084, 2.632789, 7.070000, G
0.516535, 1.602987, 0.161073, 4.087576, 7.070000, H
0.637623, 1.601995, 0.149349, 4.042147, 7.070000, I
2.501958, 1.553451, 0.145114, 2.240037, 7.070000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 38
0.387918, 1.519296, 0.154947, 2.978407, 6.980000, A
1.044679, 1.522528, 0.162291, 1.912332, 6.980000, B
1.464701, 1.508848, 0.175561, 2.021896, 6.980000, C
1.168551, 1.538265, 0.155478, 2.585320, 6.980000, D
1.127113, 1.493624, 0.151535, 2.509260, 6.980000, E
0.671035, 1.606795, 0.149455, 4.986297, 6.980000, F
0.772478, 1.484965, 0.151602, 2.632789, 6.980000, G
0.516535, 1.544343, 0.141415, 4.087576, 6.980000, H
0.637623, 1.559000, 0.146945, 4.042147, 6.980000, I
2.501958, 1.492489, 0.137893, 2.240037, 6.980000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 39
0.387918, 1.484094, 0.139245, 2.978407, 7.040000, A
1.044679, 1.466175, 0.158756, 1.912332, 7.040000, B
1.464701, 1.483986, 0.168323, 2.021896, 7.040000, C
1.168551, 1.485541, 0.148742, 2.585320, 7.040000, D
1.127113, 1.478237, 0.142441, 2.509260, 7.040000, E
0.671035, 1.550375, 0.147316, 4.986297, 7.040000, F
0.772478, 1.443847, 0.155140, 2.632789, 7.040000, G
0.516535, 1.505815, 0.150364, 4.087576, 7.040000, H
0.637623, 1.520302, 0.153201, 4.042147, 7.040000, I
2.501958, 1.439249, 0.145875, 2.240037, 7.040000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 40
0.387918, 1.459647, 0.141091, 2.978407, 7.150000, A
1.044679, 1.387504, 0.146514, 1.912332, 7.150000, B
1.464701, 1.437640, 0.153559, 2.021896, 7.150000, C
1.168551, 1.423144, 0.134376, 2.585320, 7.150000, D
1.127113, 1.480094, 0.126327, 2.509260, 7.150000, E
0.671035, 1.482486, 0.135820, 4.986297, 7.150000, F
0.772478, 1.426720, 0.147268, 2.632789, 7.150000, G
0.516535, 1.468349, 0.144865, 4.087576, 7.150000, H
0.637623, 1.474886, 0.145005, 4.042147, 7.150000, I
2.501958, 1.412004, 0.140754, 2.240037, 7.150000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 41
